project, filepath_prev, filepath_curr, disc_prev, undisc_prev,disc_curr, undisc_curr
linux,processing/prev_ver/drivers/macintosh/mediabay.c,processing/curr_ver/drivers/macintosh/mediabay.c,10,0,0,0
linux,processing/prev_ver/drivers/macintosh/windfarm_smu_sat.c,processing/curr_ver/drivers/macintosh/windfarm_smu_sat.c,2,0,1,0
linux,processing/prev_ver/drivers/crypto/talitos.c,processing/curr_ver/drivers/crypto/talitos.c,0,0,2,0
linux,processing/prev_ver/drivers/crypto/padlock-aes.c,processing/curr_ver/drivers/crypto/padlock-aes.c,0,0,1,1
linux,processing/prev_ver/drivers/crypto/ixp4xx_crypto.c,processing/curr_ver/drivers/crypto/ixp4xx_crypto.c,0,0,7,0
linux,processing/prev_ver/drivers/mfd/wm8350-regmap.c,processing/curr_ver/drivers/mfd/wm8350-regmap.c,4,0,0,0
linux,processing/prev_ver/drivers/mfd/mcp-sa11x0.c,processing/curr_ver/drivers/mfd/mcp-sa11x0.c,0,0,2,0
linux,processing/prev_ver/drivers/mfd/ucb1x00-core.c,processing/curr_ver/drivers/mfd/ucb1x00-core.c,0,0,1,0
linux,processing/prev_ver/drivers/mfd/mfd-core.c,processing/curr_ver/drivers/mfd/mfd-core.c,0,0,3,0
linux,processing/prev_ver/drivers/mfd/wm8350-core.c,processing/curr_ver/drivers/mfd/wm8350-core.c,5,0,0,0
linux,processing/prev_ver/drivers/mfd/wm8400-core.c,processing/curr_ver/drivers/mfd/wm8400-core.c,3,0,2,0
linux,processing/prev_ver/drivers/mfd/t7l66xb.c,processing/curr_ver/drivers/mfd/t7l66xb.c,3,0,1,0
linux,processing/prev_ver/drivers/mfd/twl4030-irq.c,processing/curr_ver/drivers/mfd/twl4030-irq.c,2,0,0,0
linux,processing/prev_ver/drivers/mfd/ucb1x00-ts.c,processing/curr_ver/drivers/mfd/ucb1x00-ts.c,1,0,0,0
linux,processing/prev_ver/drivers/w1/w1.c,processing/curr_ver/drivers/w1/w1.c,2,0,1,0
linux,processing/prev_ver/drivers/w1/slaves/w1_ds2433.c,processing/curr_ver/drivers/w1/slaves/w1_ds2433.c,9,0,10,0
linux,processing/prev_ver/drivers/w1/slaves/w1_therm.c,processing/curr_ver/drivers/w1/slaves/w1_therm.c,0,0,2,0
linux,processing/prev_ver/drivers/w1/masters/w1-gpio.c,processing/curr_ver/drivers/w1/masters/w1-gpio.c,0,0,1,0
linux,processing/prev_ver/drivers/ide/ide-probe.c,processing/curr_ver/drivers/ide/ide-probe.c,7,0,6,0
linux,processing/prev_ver/drivers/ide/hpt366.c,processing/curr_ver/drivers/ide/hpt366.c,4,0,3,0
linux,processing/prev_ver/drivers/ide/ide-gd.c,processing/curr_ver/drivers/ide/ide-gd.c,4,2,6,2
linux,processing/prev_ver/drivers/ide/ide.c,processing/curr_ver/drivers/ide/ide.c,3,0,1,0
linux,processing/prev_ver/drivers/ide/ide-io.c,processing/curr_ver/drivers/ide/ide-io.c,8,2,4,0
linux,processing/prev_ver/drivers/ide/cy82c693.c,processing/curr_ver/drivers/ide/cy82c693.c,3,0,0,0
linux,processing/prev_ver/drivers/ide/ide-floppy_ioctl.c,processing/curr_ver/drivers/ide/ide-floppy_ioctl.c,0,0,1,0
linux,processing/prev_ver/drivers/ide/ide-cs.c,processing/curr_ver/drivers/ide/ide-cs.c,1,0,0,0
linux,processing/prev_ver/drivers/ide/pdc202xx_old.c,processing/curr_ver/drivers/ide/pdc202xx_old.c,2,0,0,0
linux,processing/prev_ver/drivers/ide/pmac.c,processing/curr_ver/drivers/ide/pmac.c,17,1,8,0
linux,processing/prev_ver/drivers/ide/ide-floppy.c,processing/curr_ver/drivers/ide/ide-floppy.c,0,0,1,0
linux,processing/prev_ver/drivers/ide/cmd64x.c,processing/curr_ver/drivers/ide/cmd64x.c,2,0,0,0
linux,processing/prev_ver/drivers/ide/icside.c,processing/curr_ver/drivers/ide/icside.c,1,0,2,0
linux,processing/prev_ver/drivers/ide/sl82c105.c,processing/curr_ver/drivers/ide/sl82c105.c,1,0,0,0
linux,processing/prev_ver/drivers/ide/gayle.c,processing/curr_ver/drivers/ide/gayle.c,2,1,0,0
linux,processing/prev_ver/drivers/ide/ide-taskfile.c,processing/curr_ver/drivers/ide/ide-taskfile.c,5,0,2,0
linux,processing/prev_ver/drivers/ide/triflex.c,processing/curr_ver/drivers/ide/triflex.c,0,0,1,0
linux,processing/prev_ver/drivers/ide/tx4939ide.c,processing/curr_ver/drivers/ide/tx4939ide.c,5,0,6,0
linux,processing/prev_ver/drivers/ide/via82cxxx.c,processing/curr_ver/drivers/ide/via82cxxx.c,1,0,0,0
linux,processing/prev_ver/drivers/watchdog/omap_wdt.c,processing/curr_ver/drivers/watchdog/omap_wdt.c,3,0,1,0
linux,processing/prev_ver/drivers/watchdog/shwdt.c,processing/curr_ver/drivers/watchdog/shwdt.c,2,0,1,0
linux,processing/prev_ver/drivers/watchdog/wdt.c,processing/curr_ver/drivers/watchdog/wdt.c,15,0,4,0
linux,processing/prev_ver/drivers/watchdog/hpwdt.c,processing/curr_ver/drivers/watchdog/hpwdt.c,2,0,5,0
linux,processing/prev_ver/drivers/watchdog/mpc8xxx_wdt.c,processing/curr_ver/drivers/watchdog/mpc8xxx_wdt.c,2,0,0,0
linux,processing/prev_ver/drivers/watchdog/wdrtas.c,processing/curr_ver/drivers/watchdog/wdrtas.c,2,0,0,0
linux,processing/prev_ver/drivers/watchdog/at91sam9_wdt.c,processing/curr_ver/drivers/watchdog/at91sam9_wdt.c,1,0,3,0
linux,processing/prev_ver/drivers/watchdog/wdt_pci.c,processing/curr_ver/drivers/watchdog/wdt_pci.c,15,0,4,0
linux,processing/prev_ver/drivers/watchdog/booke_wdt.c,processing/curr_ver/drivers/watchdog/booke_wdt.c,0,0,2,0
linux,processing/prev_ver/drivers/watchdog/iTCO_wdt.c,processing/curr_ver/drivers/watchdog/iTCO_wdt.c,0,0,3,0
linux,processing/prev_ver/drivers/watchdog/pnx4008_wdt.c,processing/curr_ver/drivers/watchdog/pnx4008_wdt.c,0,0,1,0
linux,processing/prev_ver/drivers/watchdog/pcwd_usb.c,processing/curr_ver/drivers/watchdog/pcwd_usb.c,2,0,0,0
linux,processing/prev_ver/drivers/watchdog/softdog.c,processing/curr_ver/drivers/watchdog/softdog.c,2,0,0,0
linux,processing/prev_ver/drivers/watchdog/s3c2410_wdt.c,processing/curr_ver/drivers/watchdog/s3c2410_wdt.c,1,0,4,0
linux,processing/prev_ver/drivers/of/platform.c,processing/curr_ver/drivers/of/platform.c,0,0,6,1
linux,processing/prev_ver/drivers/of/base.c,processing/curr_ver/drivers/of/base.c,0,0,1,0
linux,processing/prev_ver/drivers/mmc/core/mmc.c,processing/curr_ver/drivers/mmc/core/mmc.c,1,0,0,0
linux,processing/prev_ver/drivers/mmc/core/sd.c,processing/curr_ver/drivers/mmc/core/sd.c,1,0,0,0
linux,processing/prev_ver/drivers/mmc/core/debugfs.c,processing/curr_ver/drivers/mmc/core/debugfs.c,0,0,2,0
linux,processing/prev_ver/drivers/mmc/core/core.c,processing/curr_ver/drivers/mmc/core/core.c,5,0,3,0
linux,processing/prev_ver/drivers/mmc/core/sdio_bus.c,processing/curr_ver/drivers/mmc/core/sdio_bus.c,0,0,2,0
linux,processing/prev_ver/drivers/mmc/core/bus.c,processing/curr_ver/drivers/mmc/core/bus.c,2,0,4,0
linux,processing/prev_ver/drivers/mmc/host/atmel-mci.c,processing/curr_ver/drivers/mmc/host/atmel-mci.c,7,0,3,0
linux,processing/prev_ver/drivers/mmc/host/au1xmmc.c,processing/curr_ver/drivers/mmc/host/au1xmmc.c,13,0,4,0
linux,processing/prev_ver/drivers/mmc/host/wbsd.c,processing/curr_ver/drivers/mmc/host/wbsd.c,13,0,12,0
linux,processing/prev_ver/drivers/mmc/host/s3cmci.c,processing/curr_ver/drivers/mmc/host/s3cmci.c,5,0,10,0
linux,processing/prev_ver/drivers/mmc/host/sdhci.c,processing/curr_ver/drivers/mmc/host/sdhci.c,8,0,5,0
linux,processing/prev_ver/drivers/mmc/host/mmc_spi.c,processing/curr_ver/drivers/mmc/host/mmc_spi.c,1,0,3,0
linux,processing/prev_ver/drivers/mmc/host/mmci.c,processing/curr_ver/drivers/mmc/host/mmci.c,1,0,3,0
linux,processing/prev_ver/drivers/mmc/host/pxamci.c,processing/curr_ver/drivers/mmc/host/pxamci.c,1,1,2,0
linux,processing/prev_ver/drivers/staging/wlan-ng/prism2mgmt.c,processing/curr_ver/drivers/staging/wlan-ng/prism2mgmt.c,11,0,0,0
linux,processing/prev_ver/drivers/staging/wlan-ng/p80211wep.c,processing/curr_ver/drivers/staging/wlan-ng/p80211wep.c,3,0,0,0
linux,processing/prev_ver/drivers/staging/wlan-ng/hfa384x_usb.c,processing/curr_ver/drivers/staging/wlan-ng/hfa384x_usb.c,17,3,7,0
linux,processing/prev_ver/drivers/staging/wlan-ng/p80211conv.c,processing/curr_ver/drivers/staging/wlan-ng/p80211conv.c,2,0,0,0
linux,processing/prev_ver/drivers/staging/wlan-ng/prism2sta.c,processing/curr_ver/drivers/staging/wlan-ng/prism2sta.c,22,0,0,0
linux,processing/prev_ver/drivers/staging/wlan-ng/p80211netdev.c,processing/curr_ver/drivers/staging/wlan-ng/p80211netdev.c,34,1,3,0
linux,processing/prev_ver/drivers/char/mem.c,processing/curr_ver/drivers/char/mem.c,29,0,26,0
linux,processing/prev_ver/drivers/char/sonypi.c,processing/curr_ver/drivers/char/sonypi.c,8,0,7,0
linux,processing/prev_ver/drivers/char/raw.c,processing/curr_ver/drivers/char/raw.c,0,0,2,0
linux,processing/prev_ver/drivers/char/mspec.c,processing/curr_ver/drivers/char/mspec.c,2,0,0,0
linux,processing/prev_ver/drivers/char/misc.c,processing/curr_ver/drivers/char/misc.c,2,0,1,0
linux,processing/prev_ver/drivers/char/hangcheck-timer.c,processing/curr_ver/drivers/char/hangcheck-timer.c,6,0,2,0
linux,processing/prev_ver/drivers/char/hpet.c,processing/curr_ver/drivers/char/hpet.c,6,0,10,0
linux,processing/prev_ver/drivers/char/nwbutton.c,processing/curr_ver/drivers/char/nwbutton.c,1,0,0,0
linux,processing/prev_ver/drivers/char/lp.c,processing/curr_ver/drivers/char/lp.c,13,0,16,0
linux,processing/prev_ver/drivers/char/nvram.c,processing/curr_ver/drivers/char/nvram.c,7,0,9,0
linux,processing/prev_ver/drivers/char/virtio_console.c,processing/curr_ver/drivers/char/virtio_console.c,0,0,3,0
linux,processing/prev_ver/drivers/char/random.c,processing/curr_ver/drivers/char/random.c,8,0,11,2
linux,processing/prev_ver/drivers/char/agp/amd64-agp.c,processing/curr_ver/drivers/char/agp/amd64-agp.c,6,0,7,0
linux,processing/prev_ver/drivers/char/agp/amd-k7-agp.c,processing/curr_ver/drivers/char/agp/amd-k7-agp.c,6,0,2,0
linux,processing/prev_ver/drivers/char/ipmi/ipmi_msghandler.c,processing/curr_ver/drivers/char/ipmi/ipmi_msghandler.c,18,0,0,0
linux,processing/prev_ver/drivers/char/ipmi/ipmi_si_intf.c,processing/curr_ver/drivers/char/ipmi/ipmi_si_intf.c,28,0,1,0
linux,processing/prev_ver/drivers/char/pcmcia/cm4040_cs.c,processing/curr_ver/drivers/char/pcmcia/cm4040_cs.c,2,3,1,3
linux,processing/prev_ver/drivers/char/pcmcia/synclink_cs.c,processing/curr_ver/drivers/char/pcmcia/synclink_cs.c,10,3,11,3
linux,processing/prev_ver/drivers/char/pcmcia/cm4000_cs.c,processing/curr_ver/drivers/char/pcmcia/cm4000_cs.c,8,3,7,3
linux,processing/prev_ver/drivers/char/tpm/tpm_tis.c,processing/curr_ver/drivers/char/tpm/tpm_tis.c,0,0,6,0
linux,processing/prev_ver/drivers/char/tpm/tpm_infineon.c,processing/curr_ver/drivers/char/tpm/tpm_infineon.c,0,0,1,0
linux,processing/prev_ver/drivers/char/xilinx_hwicap/xilinx_hwicap.c,processing/curr_ver/drivers/char/xilinx_hwicap/xilinx_hwicap.c,2,0,3,0
linux,processing/prev_ver/drivers/char/hw_random/virtio-rng.c,processing/curr_ver/drivers/char/hw_random/virtio-rng.c,0,0,2,0
linux,processing/prev_ver/drivers/char/hw_random/omap-rng.c,processing/curr_ver/drivers/char/hw_random/omap-rng.c,1,0,0,0
linux,processing/prev_ver/drivers/parport/parport_mfc3.c,processing/curr_ver/drivers/parport/parport_mfc3.c,1,0,0,0
linux,processing/prev_ver/drivers/parport/parport_cs.c,processing/curr_ver/drivers/parport/parport_cs.c,1,0,0,0
linux,processing/prev_ver/drivers/parport/parport_serial.c,processing/curr_ver/drivers/parport/parport_serial.c,2,0,0,0
linux,processing/prev_ver/drivers/parport/parport_pc.c,processing/curr_ver/drivers/parport/parport_pc.c,34,0,35,0
linux,processing/prev_ver/drivers/md/raid0.c,processing/curr_ver/drivers/md/raid0.c,1,0,0,0
linux,processing/prev_ver/drivers/md/dm.c,processing/curr_ver/drivers/md/dm.c,0,0,3,0
linux,processing/prev_ver/drivers/md/raid5.c,processing/curr_ver/drivers/md/raid5.c,8,0,13,0
linux,processing/prev_ver/drivers/md/dm-table.c,processing/curr_ver/drivers/md/dm-table.c,0,0,3,0
linux,processing/prev_ver/drivers/md/dm-crypt.c,processing/curr_ver/drivers/md/dm-crypt.c,0,0,7,0
linux,processing/prev_ver/drivers/md/dm-linear.c,processing/curr_ver/drivers/md/dm-linear.c,0,0,2,0
linux,processing/prev_ver/drivers/md/dm-stripe.c,processing/curr_ver/drivers/md/dm-stripe.c,0,0,1,0
linux,processing/prev_ver/drivers/edac/edac_mc_sysfs.c,processing/curr_ver/drivers/edac/edac_mc_sysfs.c,0,0,4,0
linux,processing/prev_ver/drivers/edac/mpc85xx_edac.c,processing/curr_ver/drivers/edac/mpc85xx_edac.c,5,0,4,0
linux,processing/prev_ver/drivers/edac/i5000_edac.c,processing/curr_ver/drivers/edac/i5000_edac.c,1,0,0,0
linux,processing/prev_ver/drivers/edac/edac_module.c,processing/curr_ver/drivers/edac/edac_module.c,2,0,1,0
linux,processing/prev_ver/drivers/edac/edac_pci_sysfs.c,processing/curr_ver/drivers/edac/edac_pci_sysfs.c,1,0,0,0
linux,processing/prev_ver/drivers/zorro/names.c,processing/curr_ver/drivers/zorro/names.c,2,0,0,0
linux,processing/prev_ver/mm/migrate.c,processing/curr_ver/mm/migrate.c,4,0,9,1
linux,processing/prev_ver/mm/oom_kill.c,processing/curr_ver/mm/oom_kill.c,3,0,4,0
linux,processing/prev_ver/mm/page_io.c,processing/curr_ver/mm/page_io.c,0,0,2,0
linux,processing/prev_ver/mm/mprotect.c,processing/curr_ver/mm/mprotect.c,1,1,2,0
linux,processing/prev_ver/mm/memory_hotplug.c,processing/curr_ver/mm/memory_hotplug.c,9,0,11,0
linux,processing/prev_ver/mm/fadvise.c,processing/curr_ver/mm/fadvise.c,1,0,2,0
linux,processing/prev_ver/mm/memcontrol.c,processing/curr_ver/mm/memcontrol.c,0,0,41,0
linux,processing/prev_ver/mm/page-writeback.c,processing/curr_ver/mm/page-writeback.c,3,0,8,0
linux,processing/prev_ver/mm/maccess.c,processing/curr_ver/mm/maccess.c,0,0,2,0
linux,processing/prev_ver/mm/swapfile.c,processing/curr_ver/mm/swapfile.c,3,0,5,0
linux,processing/prev_ver/mm/sparse.c,processing/curr_ver/mm/sparse.c,15,0,24,0
linux,processing/prev_ver/mm/vmscan.c,processing/curr_ver/mm/vmscan.c,7,0,10,0
linux,processing/prev_ver/mm/filemap.c,processing/curr_ver/mm/filemap.c,5,0,4,0
linux,processing/prev_ver/mm/mincore.c,processing/curr_ver/mm/mincore.c,2,0,4,0
linux,processing/prev_ver/mm/mremap.c,processing/curr_ver/mm/mremap.c,0,0,5,0
linux,processing/prev_ver/mm/util.c,processing/curr_ver/mm/util.c,1,0,4,1
linux,processing/prev_ver/mm/madvise.c,processing/curr_ver/mm/madvise.c,0,0,9,0
linux,processing/prev_ver/mm/highmem.c,processing/curr_ver/mm/highmem.c,2,0,8,0
linux,processing/prev_ver/mm/slob.c,processing/curr_ver/mm/slob.c,3,1,5,1
linux,processing/prev_ver/mm/backing-dev.c,processing/curr_ver/mm/backing-dev.c,2,0,4,0
linux,processing/prev_ver/mm/nommu.c,processing/curr_ver/mm/nommu.c,7,0,3,0
linux,processing/prev_ver/mm/mmap.c,processing/curr_ver/mm/mmap.c,10,1,12,0
linux,processing/prev_ver/mm/slub.c,processing/curr_ver/mm/slub.c,47,0,75,4
linux,processing/prev_ver/mm/mempolicy.c,processing/curr_ver/mm/mempolicy.c,7,0,11,0
linux,processing/prev_ver/mm/vmalloc.c,processing/curr_ver/mm/vmalloc.c,2,0,9,0
linux,processing/prev_ver/mm/pagewalk.c,processing/curr_ver/mm/pagewalk.c,0,0,2,0
linux,processing/prev_ver/mm/swap_state.c,processing/curr_ver/mm/swap_state.c,0,0,5,0
linux,processing/prev_ver/mm/vmstat.c,processing/curr_ver/mm/vmstat.c,21,0,52,0
linux,processing/prev_ver/mm/memory.c,processing/curr_ver/mm/memory.c,13,2,26,1
linux,processing/prev_ver/mm/hugetlb.c,processing/curr_ver/mm/hugetlb.c,3,0,29,0
linux,processing/prev_ver/mm/mmzone.c,processing/curr_ver/mm/mmzone.c,2,0,3,0
linux,processing/prev_ver/mm/mmu_notifier.c,processing/curr_ver/mm/mmu_notifier.c,0,0,1,0
linux,processing/prev_ver/mm/mempool.c,processing/curr_ver/mm/mempool.c,0,0,2,0
linux,processing/prev_ver/mm/shmem.c,processing/curr_ver/mm/shmem.c,22,0,41,0
linux,processing/prev_ver/mm/mlock.c,processing/curr_ver/mm/mlock.c,2,0,0,0
linux,processing/prev_ver/mm/page_alloc.c,processing/curr_ver/mm/page_alloc.c,69,2,120,3
linux,processing/prev_ver/mm/rmap.c,processing/curr_ver/mm/rmap.c,3,2,6,0
linux,processing/prev_ver/mm/slab.c,processing/curr_ver/mm/slab.c,68,0,45,0
linux,processing/prev_ver/arch/ia64/hp/common/sba_iommu.c,processing/curr_ver/arch/ia64/hp/common/sba_iommu.c,64,0,57,0
linux,processing/prev_ver/arch/ia64/pci/pci.c,processing/curr_ver/arch/ia64/pci/pci.c,1,0,0,0
linux,processing/prev_ver/arch/ia64/kernel/topology.c,processing/curr_ver/arch/ia64/kernel/topology.c,7,0,6,0
linux,processing/prev_ver/arch/ia64/kernel/palinfo.c,processing/curr_ver/arch/ia64/kernel/palinfo.c,3,0,2,0
linux,processing/prev_ver/arch/ia64/kernel/pci-dma.c,processing/curr_ver/arch/ia64/kernel/pci-dma.c,4,0,2,0
linux,processing/prev_ver/arch/ia64/kernel/ptrace.c,processing/curr_ver/arch/ia64/kernel/ptrace.c,2,0,0,0
linux,processing/prev_ver/arch/ia64/kernel/time.c,processing/curr_ver/arch/ia64/kernel/time.c,5,0,3,0
linux,processing/prev_ver/arch/ia64/kernel/process.c,processing/curr_ver/arch/ia64/kernel/process.c,19,0,5,0
linux,processing/prev_ver/arch/ia64/kernel/sys_ia64.c,processing/curr_ver/arch/ia64/kernel/sys_ia64.c,2,0,1,0
linux,processing/prev_ver/arch/ia64/kernel/iosapic.c,processing/curr_ver/arch/ia64/kernel/iosapic.c,13,0,11,0
linux,processing/prev_ver/arch/ia64/kernel/smpboot.c,processing/curr_ver/arch/ia64/kernel/smpboot.c,10,0,7,0
linux,processing/prev_ver/arch/ia64/kernel/ia64_ksyms.c,processing/curr_ver/arch/ia64/kernel/ia64_ksyms.c,8,0,1,0
linux,processing/prev_ver/arch/ia64/kernel/efi.c,processing/curr_ver/arch/ia64/kernel/efi.c,8,0,7,0
linux,processing/prev_ver/arch/ia64/kernel/acpi.c,processing/curr_ver/arch/ia64/kernel/acpi.c,27,0,13,0
linux,processing/prev_ver/arch/ia64/kernel/traps.c,processing/curr_ver/arch/ia64/kernel/traps.c,6,0,4,0
linux,processing/prev_ver/arch/ia64/kernel/irq_ia64.c,processing/curr_ver/arch/ia64/kernel/irq_ia64.c,9,0,7,0
linux,processing/prev_ver/arch/ia64/kernel/setup.c,processing/curr_ver/arch/ia64/kernel/setup.c,33,0,26,1
linux,processing/prev_ver/arch/ia64/kernel/audit.c,processing/curr_ver/arch/ia64/kernel/audit.c,3,0,0,0
linux,processing/prev_ver/arch/ia64/kernel/crash.c,processing/curr_ver/arch/ia64/kernel/crash.c,5,0,4,0
linux,processing/prev_ver/arch/ia64/kernel/asm-offsets.c,processing/curr_ver/arch/ia64/kernel/asm-offsets.c,2,0,1,0
linux,processing/prev_ver/arch/ia64/kernel/irq.c,processing/curr_ver/arch/ia64/kernel/irq.c,5,0,2,0
linux,processing/prev_ver/arch/ia64/kernel/mca.c,processing/curr_ver/arch/ia64/kernel/mca.c,9,0,6,0
linux,processing/prev_ver/arch/ia64/mm/fault.c,processing/curr_ver/arch/ia64/mm/fault.c,4,0,2,0
linux,processing/prev_ver/arch/ia64/mm/contig.c,processing/curr_ver/arch/ia64/mm/contig.c,7,0,3,0
linux,processing/prev_ver/arch/ia64/mm/discontig.c,processing/curr_ver/arch/ia64/mm/discontig.c,11,0,8,0
linux,processing/prev_ver/arch/ia64/mm/tlb.c,processing/curr_ver/arch/ia64/mm/tlb.c,2,0,3,0
linux,processing/prev_ver/arch/ia64/mm/init.c,processing/curr_ver/arch/ia64/mm/init.c,12,0,10,2
linux,processing/prev_ver/arch/ia64/uv/kernel/setup.c,processing/curr_ver/arch/ia64/uv/kernel/setup.c,1,0,0,0
linux,processing/prev_ver/arch/ia64/lib/io.c,processing/curr_ver/arch/ia64/lib/io.c,1,0,0,0
linux,processing/prev_ver/arch/s390/kernel/ptrace.c,processing/curr_ver/arch/s390/kernel/ptrace.c,6,4,3,0
linux,processing/prev_ver/arch/s390/kernel/diag.c,processing/curr_ver/arch/s390/kernel/diag.c,2,0,0,0
linux,processing/prev_ver/arch/s390/kernel/time.c,processing/curr_ver/arch/s390/kernel/time.c,1,0,0,0
linux,processing/prev_ver/arch/s390/kernel/process.c,processing/curr_ver/arch/s390/kernel/process.c,5,0,0,0
linux,processing/prev_ver/arch/s390/kernel/smp.c,processing/curr_ver/arch/s390/kernel/smp.c,18,0,3,0
linux,processing/prev_ver/arch/s390/kernel/dis.c,processing/curr_ver/arch/s390/kernel/dis.c,15,0,0,0
linux,processing/prev_ver/arch/s390/kernel/stacktrace.c,processing/curr_ver/arch/s390/kernel/stacktrace.c,0,0,1,0
linux,processing/prev_ver/arch/s390/kernel/vtime.c,processing/curr_ver/arch/s390/kernel/vtime.c,2,0,0,0
linux,processing/prev_ver/arch/s390/kernel/traps.c,processing/curr_ver/arch/s390/kernel/traps.c,16,3,0,1
linux,processing/prev_ver/arch/s390/kernel/ipl.c,processing/curr_ver/arch/s390/kernel/ipl.c,0,0,2,0
linux,processing/prev_ver/arch/s390/kernel/setup.c,processing/curr_ver/arch/s390/kernel/setup.c,31,1,30,0
linux,processing/prev_ver/arch/s390/kernel/module.c,processing/curr_ver/arch/s390/kernel/module.c,2,0,0,0
linux,processing/prev_ver/arch/s390/kernel/machine_kexec.c,processing/curr_ver/arch/s390/kernel/machine_kexec.c,0,0,7,0
linux,processing/prev_ver/arch/s390/kernel/early.c,processing/curr_ver/arch/s390/kernel/early.c,11,0,2,0
linux,processing/prev_ver/arch/s390/kernel/irq.c,processing/curr_ver/arch/s390/kernel/irq.c,2,0,0,0
linux,processing/prev_ver/arch/s390/kernel/signal.c,processing/curr_ver/arch/s390/kernel/signal.c,0,1,0,0
linux,processing/prev_ver/arch/s390/kernel/compat_linux.c,processing/curr_ver/arch/s390/kernel/compat_linux.c,4,0,1,0
linux,processing/prev_ver/arch/s390/mm/hugetlbpage.c,processing/curr_ver/arch/s390/mm/hugetlbpage.c,0,0,2,0
linux,processing/prev_ver/arch/s390/mm/fault.c,processing/curr_ver/arch/s390/mm/fault.c,10,2,3,0
linux,processing/prev_ver/arch/s390/mm/pgtable.c,processing/curr_ver/arch/s390/mm/pgtable.c,3,0,11,0
linux,processing/prev_ver/arch/s390/mm/mmap.c,processing/curr_ver/arch/s390/mm/mmap.c,3,0,0,0
linux,processing/prev_ver/arch/s390/mm/extmem.c,processing/curr_ver/arch/s390/mm/extmem.c,5,0,0,0
linux,processing/prev_ver/arch/s390/mm/cmm.c,processing/curr_ver/arch/s390/mm/cmm.c,8,0,5,0
linux,processing/prev_ver/arch/s390/mm/init.c,processing/curr_ver/arch/s390/mm/init.c,6,0,3,0
linux,processing/prev_ver/arch/s390/kvm/kvm-s390.c,processing/curr_ver/arch/s390/kvm/kvm-s390.c,0,0,5,0
linux,processing/prev_ver/arch/s390/lib/string.c,processing/curr_ver/arch/s390/lib/string.c,0,0,14,0
linux,processing/prev_ver/arch/s390/appldata/appldata_mem.c,processing/curr_ver/arch/s390/appldata/appldata_mem.c,1,0,0,0
linux,processing/prev_ver/arch/sh/kernel/smp.c,processing/curr_ver/arch/sh/kernel/smp.c,1,0,8,0
linux,processing/prev_ver/arch/sh/kernel/io_trapped.c,processing/curr_ver/arch/sh/kernel/io_trapped.c,2,0,4,0
linux,processing/prev_ver/arch/sh/kernel/ptrace_32.c,processing/curr_ver/arch/sh/kernel/ptrace_32.c,10,0,8,0
linux,processing/prev_ver/arch/sh/kernel/sh_ksyms_32.c,processing/curr_ver/arch/sh/kernel/sh_ksyms_32.c,12,0,2,0
linux,processing/prev_ver/arch/sh/kernel/traps.c,processing/curr_ver/arch/sh/kernel/traps.c,2,0,4,0
linux,processing/prev_ver/arch/sh/kernel/traps_32.c,processing/curr_ver/arch/sh/kernel/traps_32.c,26,2,23,2
linux,processing/prev_ver/arch/sh/kernel/sys_sh.c,processing/curr_ver/arch/sh/kernel/sys_sh.c,1,0,0,0
linux,processing/prev_ver/arch/sh/kernel/sh_bios.c,processing/curr_ver/arch/sh/kernel/sh_bios.c,0,0,1,0
linux,processing/prev_ver/arch/sh/kernel/module.c,processing/curr_ver/arch/sh/kernel/module.c,1,0,0,0
linux,processing/prev_ver/arch/sh/kernel/machine_kexec.c,processing/curr_ver/arch/sh/kernel/machine_kexec.c,3,0,4,0
linux,processing/prev_ver/arch/sh/kernel/process_32.c,processing/curr_ver/arch/sh/kernel/process_32.c,18,0,8,0
linux,processing/prev_ver/arch/sh/kernel/asm-offsets.c,processing/curr_ver/arch/sh/kernel/asm-offsets.c,0,0,1,0
linux,processing/prev_ver/arch/sh/kernel/irq.c,processing/curr_ver/arch/sh/kernel/irq.c,5,1,4,0
linux,processing/prev_ver/arch/sh/kernel/io.c,processing/curr_ver/arch/sh/kernel/io.c,0,0,1,0
linux,processing/prev_ver/arch/sh/kernel/cpu/init.c,processing/curr_ver/arch/sh/kernel/cpu/init.c,10,1,12,1
linux,processing/prev_ver/arch/sh/kernel/cpu/clock.c,processing/curr_ver/arch/sh/kernel/cpu/clock.c,0,0,2,0
linux,processing/prev_ver/arch/sh/kernel/cpu/sh2/probe.c,processing/curr_ver/arch/sh/kernel/cpu/sh2/probe.c,1,0,6,0
linux,processing/prev_ver/arch/sh/kernel/cpu/sh3/clock-sh7709.c,processing/curr_ver/arch/sh/kernel/cpu/sh3/clock-sh7709.c,1,0,0,0
linux,processing/prev_ver/arch/sh/kernel/cpu/sh3/setup-sh770x.c,processing/curr_ver/arch/sh/kernel/cpu/sh3/setup-sh770x.c,9,0,13,0
linux,processing/prev_ver/arch/sh/kernel/cpu/sh2a/probe.c,processing/curr_ver/arch/sh/kernel/cpu/sh2a/probe.c,4,0,7,0
linux,processing/prev_ver/arch/sh/kernel/cpu/sh2a/setup-sh7203.c,processing/curr_ver/arch/sh/kernel/cpu/sh2a/setup-sh7203.c,4,0,3,0
linux,processing/prev_ver/arch/sh/kernel/cpu/sh4/probe.c,processing/curr_ver/arch/sh/kernel/cpu/sh4/probe.c,2,0,0,0
