project, filepath_prev, filepath_curr, disc_prev, undisc_prev,disc_curr, undisc_curr
sqlite,processing/prev_ver/src/select.c,processing/curr_ver/src/select.c,27,0,85,10
sqlite,processing/prev_ver/src/pragma.c,processing/curr_ver/src/pragma.c,13,16,38,0
sqlite,processing/prev_ver/src/prepare.c,processing/curr_ver/src/prepare.c,5,2,10,2
sqlite,processing/prev_ver/src/mem5.c,processing/curr_ver/src/mem5.c,3,0,8,0
sqlite,processing/prev_ver/src/test_schema.c,processing/curr_ver/src/test_schema.c,7,0,9,0
sqlite,processing/prev_ver/src/vdbemem.c,processing/curr_ver/src/vdbemem.c,4,1,28,2
sqlite,processing/prev_ver/src/test_loadext.c,processing/curr_ver/src/test_loadext.c,0,0,2,0
sqlite,processing/prev_ver/src/test_autoext.c,processing/curr_ver/src/test_autoext.c,2,0,3,0
sqlite,processing/prev_ver/src/pcache.c,processing/curr_ver/src/pcache.c,4,0,6,0
sqlite,processing/prev_ver/src/analyze.c,processing/curr_ver/src/analyze.c,2,0,44,8
sqlite,processing/prev_ver/src/memjournal.c,processing/curr_ver/src/memjournal.c,0,0,1,5
sqlite,processing/prev_ver/src/vdbeblob.c,processing/curr_ver/src/vdbeblob.c,2,0,7,1
sqlite,processing/prev_ver/src/main.c,processing/curr_ver/src/main.c,42,1,161,3
sqlite,processing/prev_ver/src/insert.c,processing/curr_ver/src/insert.c,13,1,32,2
sqlite,processing/prev_ver/src/btmutex.c,processing/curr_ver/src/btmutex.c,5,0,8,0
sqlite,processing/prev_ver/src/util.c,processing/curr_ver/src/util.c,12,0,36,3
sqlite,processing/prev_ver/src/loadext.c,processing/curr_ver/src/loadext.c,15,2,29,4
sqlite,processing/prev_ver/src/table.c,processing/curr_ver/src/table.c,1,0,2,0
sqlite,processing/prev_ver/src/vdbe.c,processing/curr_ver/src/vdbe.c,51,1,114,6
sqlite,processing/prev_ver/src/vdbeapi.c,processing/curr_ver/src/vdbeapi.c,22,1,47,2
sqlite,processing/prev_ver/src/test_async.c,processing/curr_ver/src/test_async.c,4,0,3,0
sqlite,processing/prev_ver/src/test_md5.c,processing/curr_ver/src/test_md5.c,0,0,1,0
sqlite,processing/prev_ver/src/test6.c,processing/curr_ver/src/test6.c,7,0,9,0
sqlite,processing/prev_ver/src/resolve.c,processing/curr_ver/src/resolve.c,11,0,21,7
sqlite,processing/prev_ver/src/btree.c,processing/curr_ver/src/btree.c,79,5,99,5
sqlite,processing/prev_ver/src/global.c,processing/curr_ver/src/global.c,0,2,8,2
sqlite,processing/prev_ver/src/where.c,processing/curr_ver/src/where.c,15,8,56,7
sqlite,processing/prev_ver/src/update.c,processing/curr_ver/src/update.c,7,0,21,1
sqlite,processing/prev_ver/src/expr.c,processing/curr_ver/src/expr.c,15,0,50,8
sqlite,processing/prev_ver/src/test_hexio.c,processing/curr_ver/src/test_hexio.c,1,0,2,0
sqlite,processing/prev_ver/src/utf.c,processing/curr_ver/src/utf.c,7,0,12,0
sqlite,processing/prev_ver/src/func.c,processing/curr_ver/src/func.c,10,0,35,0
sqlite,processing/prev_ver/src/delete.c,processing/curr_ver/src/delete.c,6,3,8,3
sqlite,processing/prev_ver/src/complete.c,processing/curr_ver/src/complete.c,10,1,11,1
sqlite,processing/prev_ver/src/mutex.c,processing/curr_ver/src/mutex.c,3,0,11,4
sqlite,processing/prev_ver/src/malloc.c,processing/curr_ver/src/malloc.c,14,0,22,1
sqlite,processing/prev_ver/src/tokenize.c,processing/curr_ver/src/tokenize.c,9,2,15,8
sqlite,processing/prev_ver/src/test3.c,processing/curr_ver/src/test3.c,2,0,3,0
sqlite,processing/prev_ver/src/mutex_noop.c,processing/curr_ver/src/mutex_noop.c,2,0,6,0
sqlite,processing/prev_ver/src/alter.c,processing/curr_ver/src/alter.c,17,1,25,2
sqlite,processing/prev_ver/src/vacuum.c,processing/curr_ver/src/vacuum.c,4,0,5,0
sqlite,processing/prev_ver/src/test_devsym.c,processing/curr_ver/src/test_devsym.c,5,0,7,0
sqlite,processing/prev_ver/src/vtab.c,processing/curr_ver/src/vtab.c,2,0,9,0
sqlite,processing/prev_ver/src/mutex_unix.c,processing/curr_ver/src/mutex_unix.c,14,2,24,4
sqlite,processing/prev_ver/src/test_func.c,processing/curr_ver/src/test_func.c,3,0,7,0
sqlite,processing/prev_ver/src/test1.c,processing/curr_ver/src/test1.c,60,4,102,4
sqlite,processing/prev_ver/src/test_malloc.c,processing/curr_ver/src/test_malloc.c,10,0,11,0
sqlite,processing/prev_ver/src/status.c,processing/curr_ver/src/status.c,0,0,7,0
sqlite,processing/prev_ver/src/printf.c,processing/curr_ver/src/printf.c,8,0,18,0
sqlite,processing/prev_ver/src/trigger.c,processing/curr_ver/src/trigger.c,4,0,6,1
sqlite,processing/prev_ver/src/auth.c,processing/curr_ver/src/auth.c,1,0,2,2
sqlite,processing/prev_ver/src/test2.c,processing/curr_ver/src/test2.c,2,0,3,0
sqlite,processing/prev_ver/src/os_win.c,processing/curr_ver/src/os_win.c,32,11,290,22
sqlite,processing/prev_ver/src/date.c,processing/curr_ver/src/date.c,11,1,17,1
sqlite,processing/prev_ver/src/tclsqlite.c,processing/curr_ver/src/tclsqlite.c,27,1,52,1
sqlite,processing/prev_ver/src/pcache1.c,processing/curr_ver/src/pcache1.c,2,0,18,1
sqlite,processing/prev_ver/src/random.c,processing/curr_ver/src/random.c,3,0,5,0
sqlite,processing/prev_ver/src/os_unix.c,processing/curr_ver/src/os_unix.c,109,6,208,9
sqlite,processing/prev_ver/src/test_osinst.c,processing/curr_ver/src/test_osinst.c,6,0,10,0
sqlite,processing/prev_ver/src/test_thread.c,processing/curr_ver/src/test_thread.c,2,0,6,0
sqlite,processing/prev_ver/src/pager.c,processing/curr_ver/src/pager.c,29,3,60,3
sqlite,processing/prev_ver/src/build.c,processing/curr_ver/src/build.c,45,4,63,7
sqlite,processing/prev_ver/src/attach.c,processing/curr_ver/src/attach.c,6,0,8,0
sqlite,processing/prev_ver/src/mutex_w32.c,processing/curr_ver/src/mutex_w32.c,3,2,29,2
sqlite,processing/prev_ver/src/test_config.c,processing/curr_ver/src/test_config.c,151,0,233,0
